country,raw_table,source_entity_code,source_entity_name,row_count,canonical_entity_name,notes
AR,ar_raw_balance,618,LA SEGUNDA ASEGURADORA DE RIESGOS DEL TRABAJO SOCIEDAD ANÓNIMA,23806,La Segunda,
AR,ar_raw_balance,117,LA SEGUNDA COMPAÑIA DE SEGUROS DE PERSONAS SOCIEDAD ANÓNIMA,41389,La Segunda,
AR,ar_raw_balance,317,LA SEGUNDA COOPERATIVA LIMITADA DE SEGUROS GENERALES,78891,La Segunda,
AR,ar_raw_balance,436,LA SEGUNDA SEGUROS DE RETIRO SOCIEDAD ANONIMA,26282,La Segunda,
AR,ar_raw_balance,596,LA TERRITORIAL VIDA Y SALUD COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,7347,La Territorial Vida,
AR,ar_raw_solvencia,,LATIN AMERICAN,7,Latin American Seguros,
AR,ar_raw_balance,855,LATIN AMERICAN SEGUROS S.A.,37935,Latin American Seguros,
AR,ar_raw_solvencia,,LATITUD SUR,8,Latitud Sur,
AR,ar_raw_solvencia,,LIBRA,7,Libra,
AR,ar_raw_balance,852,LIBRA COMPAÑIA ARGENTINA DE SEGUROS S.A.,15176,Libra,
AR,ar_raw_solvencia,,LIDER MOTOS,7,Líder Motos,
AR,ar_raw_balance,858,LIDER MOTOS COMPAÑÍA DE SEGUROS S.A.,22293,Líder Motos,
AR,ar_raw_solvencia,,LIDERAR,8,Liderar,
AR,ar_raw_balance,352,LIDERAR COMPAÑIA GENERAL DE SEGUROS S.A.,26948,Liderar,
AR,ar_raw_solvencia,,LIFE,5,Life Seguros,
AR,ar_raw_solvencia,,LIFE GROUP,2,Life Group,
AR,ar_raw_balance,694,LIFE GROUP COMPAÑÍA DE SEGUROS S.A.,1533,Life Group,
AR,ar_raw_balance,251,LIFE SEGUROS DE PERSONAS Y PATRIMONIALES S.A.,16975,Life Seguros,
AR,ar_raw_solvencia,,LOGRAR PERSONAS,1,Lograr Seguros de Personas,
AR,ar_raw_solvencia,,LUZ Y FUERZA,8,Cooperativa Luz y Fuerza,
AR,ar_raw_solvencia,,MAPFRE,8,Mapfre Argentina,
AR,ar_raw_balance,699,MAPFRE ARGENTINA SEGUROS DE VIDA S.A.,57763,Mapfre Argentina,
AR,ar_raw_balance,213,MAPFRE ARGENTINA SEGUROS S.A.,121805,Mapfre Argentina,
AR,ar_raw_solvencia,,MAPFRE VIDA,8,Mapfre Argentina,
AR,ar_raw_solvencia,,MAÑANA,8,Mañana,
AR,ar_raw_balance,432,MAÑANA SOCIEDAD ANONIMA DE SEGUROS DE PERSONAS,399,Mañana,
AR,ar_raw_solvencia,,MERCANTIL ANDINA,8,La Mercantil Andina,
AR,ar_raw_solvencia,,MERCANTIL ASEGURADORA,7,Compañía Mercantil Aseguradora,
AR,ar_raw_solvencia,,MERIDIONAL,8,La Meridional,
AR,ar_raw_solvencia,,METLIFE,3,MetLife Argentina,
AR,ar_raw_solvencia,,METLIFE  RETIRO,2,MetLife Argentina,
AR,ar_raw_balance,420,METLIFE SEGUROS DE RETIRO S.A.,3217,MetLife Argentina,
AR,ar_raw_balance,251,METLIFE SEGUROS S.A.,16427,MetLife Argentina,
AR,ar_raw_solvencia,,METROPOL,8,Metrópol,
AR,ar_raw_balance,334,METROPOL COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,10239,Metrópol,
AR,ar_raw_solvencia,,METROPOL MUTUOS,8,Metrópol,
AR,ar_raw_balance,682,METROPOL SOCIEDAD DE SEGUROS MUTUOS,6066,Metrópol,
AR,ar_raw_solvencia,,MISTA,4,MISTA,
AR,ar_raw_solvencia,,MISTA PERSONAS,2,MISTA,
AR,ar_raw_balance,632,MISTA SEGUROS DE PERSONAS S.A.,5978,MISTA,
AR,ar_raw_solvencia,,MUTUAL DAN,1,Asociación Mutual Dan,
AR,ar_raw_balance,890,MUTUAL DE EMPLEADOS Y OBREROS PETROLEROS PRIVADOS ART MUTUAL,6311,Mutual Petroleros ART,
